timestamp,fridge_opens,motion_night,stove_uses,hour,is_night,anomaly,is_anomaly
2025-05-01 00:00:00,4,0,0,0,1,1,False
2025-05-01 01:00:00,1,1,0,1,1,1,False
2025-05-01 02:00:00,3,1,0,2,1,1,False
2025-05-01 03:00:00,3,0,0,3,1,1,False
2025-05-01 04:00:00,1,0,0,4,1,1,False
2025-05-01 05:00:00,2,0,1,5,1,1,False
2025-05-01 06:00:00,1,1,1,6,0,1,False
2025-05-01 07:00:00,1,0,1,7,0,1,False
2025-05-01 08:00:00,2,0,2,8,0,1,False
2025-05-01 09:00:00,2,1,1,9,0,1,False
2025-05-01 10:00:00,1,1,0,10,0,1,False
2025-05-01 11:00:00,0,1,2,11,0,1,False
2025-05-01 12:00:00,4,0,1,12,0,1,False
2025-05-01 13:00:00,2,0,1,13,0,1,False
2025-05-01 14:00:00,1,0,0,14,0,1,False
2025-05-01 15:00:00,3,1,1,15,0,1,False
2025-05-01 16:00:00,2,1,0,16,0,1,False
2025-05-01 17:00:00,6,0,0,17,0,1,False
2025-05-01 18:00:00,1,0,1,18,0,1,False
2025-05-01 19:00:00,1,0,1,19,0,1,False
2025-05-01 20:00:00,2,1,1,20,0,1,False
2025-05-01 21:00:00,2,1,0,21,0,1,False
2025-05-01 22:00:00,1,0,0,22,0,1,False
2025-05-01 23:00:00,3,0,0,23,1,1,False
2025-05-02 00:00:00,4,0,0,0,1,1,False
2025-05-02 01:00:00,1,1,1,1,1,1,False
2025-05-02 02:00:00,3,1,1,2,1,1,False
2025-05-02 03:00:00,11,1,9,3,1,-1,True
2025-05-02 04:00:00,4,0,1,4,1,1,False
2025-05-02 05:00:00,4,0,0,5,1,1,False
2025-05-02 06:00:00,2,0,3,6,0,1,False
2025-05-02 07:00:00,0,0,2,7,0,1,False
2025-05-02 08:00:00,0,1,0,8,0,1,False
2025-05-02 09:00:00,2,1,2,9,0,1,False
2025-05-02 10:00:00,2,1,0,10,0,1,False
2025-05-02 11:00:00,11,1,6,11,0,1,False
2025-05-02 12:00:00,1,0,0,12,0,1,False
2025-05-02 13:00:00,5,0,0,13,0,1,False
2025-05-02 14:00:00,4,1,2,14,0,1,False
2025-05-02 15:00:00,0,1,0,15,0,1,False
2025-05-02 16:00:00,1,0,1,16,0,1,False
2025-05-02 17:00:00,2,0,1,17,0,1,False
2025-05-02 18:00:00,2,0,1,18,0,1,False
2025-05-02 19:00:00,0,1,0,19,0,1,False
2025-05-02 20:00:00,2,0,2,20,0,1,False
2025-05-02 21:00:00,2,0,1,21,0,1,False
2025-05-02 22:00:00,3,0,2,22,0,1,False
2025-05-02 23:00:00,1,0,0,23,1,1,False
2025-05-03 00:00:00,0,0,2,0,1,1,False
2025-05-03 01:00:00,10,1,5,1,1,-1,True
2025-05-03 02:00:00,2,0,2,2,1,1,False
2025-05-03 03:00:00,1,0,2,3,1,1,False
2025-05-03 04:00:00,3,0,0,4,1,1,False
2025-05-03 05:00:00,11,1,5,5,1,1,False
2025-05-03 06:00:00,3,1,1,6,0,1,False
2025-05-03 07:00:00,2,0,3,7,0,1,False
2025-05-03 08:00:00,0,0,1,8,0,1,False
2025-05-03 09:00:00,2,1,1,9,0,1,False
2025-05-03 10:00:00,1,0,1,10,0,1,False
2025-05-03 11:00:00,1,0,0,11,0,1,False
2025-05-03 12:00:00,3,0,0,12,0,1,False
2025-05-03 13:00:00,1,0,2,13,0,1,False
2025-05-03 14:00:00,4,0,2,14,0,1,False
2025-05-03 15:00:00,10,1,7,15,0,1,False
2025-05-03 16:00:00,0,0,0,16,0,1,False
2025-05-03 17:00:00,4,0,2,17,0,1,False
2025-05-03 18:00:00,5,0,2,18,0,1,False
2025-05-03 19:00:00,11,1,7,19,0,1,False
2025-05-03 20:00:00,0,0,1,20,0,1,False
2025-05-03 21:00:00,0,0,3,21,0,1,False
2025-05-03 22:00:00,1,0,2,22,0,1,False
2025-05-03 23:00:00,1,1,1,23,1,1,False
2025-05-04 00:00:00,2,0,1,0,1,1,False
2025-05-04 01:00:00,2,0,3,1,1,1,False
2025-05-04 02:00:00,5,0,2,2,1,1,False
2025-05-04 03:00:00,11,1,8,3,1,1,False
2025-05-04 04:00:00,2,0,1,4,1,1,False
2025-05-04 05:00:00,4,1,0,5,1,1,False
